flat_type,flat_price,location1,buildupArea_sqft,age_of_property,furnishing,bedrooms,bathrooms,balcony,parking
2,2.68,27,735,3,2,2,2,0,1
2,1.77,3,950,1,3,2,2,1,1
2,2.15,9,850,3,3,2,2,0,1
3,5.95,17,2149,3,2,3,4,0,1
2,1.35,29,1050,4,2,2,2,0,1
1,0.97,7,600,4,1,1,2,0,1
3,3.0,51,1200,3,1,3,3,2,1
2,2.55,22,1100,1,1,2,2,1,1
1,0.9,3,683,1,1,1,1,0,1
1,1.0,31,800,2,1,1,2,0,1
3,9.0,30,1740,1,1,3,3,0,1
1,0.71,1,665,1,1,1,1,2,1
3,1.57,21,1280,1,1,3,2,0,1
3,2.15,9,1380,1,2,3,3,0,1
1,0.24,39,545,1,1,1,1,1,1
3,4.68,2,1515,3,2,3,3,0,1
2,3.1,4,1200,1,1,2,2,1,1
3,7.0,30,2400,4,3,3,2,0,1
2,4.1,61,1500,4,1,2,2,0,1
1,0.78,1,696,3,1,1,2,3,1
4,8.25,30,1800,1,1,4,2,0,1
1,0.33,24,610,3,2,1,1,2,1
2,2.15,31,750,1,1,2,2,0,1
2,0.9,1,672,3,1,2,2,3,2
1,0.7,15,400,1,1,1,1,0,1
5,5.5,31,2100,4,3,5,4,1,1
1,2.75,30,580,3,2,1,2,0,1
2,0.52,18,850,1,1,2,2,3,1
2,1.75,2,850,1,2,2,2,0,1
2,2.95,15,1150,1,2,2,2,1,1
2,1.75,62,671,3,1,2,2,1,2
3,4.27,3,1320,1,2,3,2,1,1
3,2.3,28,765,3,1,3,2,0,1
3,3.6,35,1010,3,1,3,2,1,1
3,2.0,15,1250,4,3,3,2,0,1
1,1.05,14,620,1,2,1,1,0,2
2,0.43,18,900,1,2,2,2,0,1
1,0.88,2,657,1,2,1,2,2,1
3,8.5,63,2030,4,1,2,1,0,1
3,9.5,55,1810,3,1,3,3,1,1
1,1.11,14,750,4,1,1,2,0,1
3,8.0,43,2000,3,1,3,1,0,1
3,5.25,50,1208,4,3,3,3,0,1
2,4.25,17,1042,1,1,2,2,1,1
1,0.52,48,670,1,1,1,2,2,1
3,2.5,15,1110,4,1,3,3,1,1
3,4.85,7,1950,4,1,3,2,0,1
3,5.25,14,1760,3,1,3,3,1,1
2,2.2,6,870,1,1,2,2,0,1
1,1.15,29,600,3,2,1,2,0,1
3,4.5,17,1600,1,1,3,1,0,1
1,1.35,26,568,1,1,1,2,0,1
1,3.0,30,844,3,2,1,2,0,1
2,1.45,15,800,4,1,2,2,0,1
2,9.75,64,1400,1,1,2,3,0,1
2,2.1,7,1050,4,1,2,2,1,1
2,0.85,39,860,1,3,2,1,3,1
2,6.5,54,1030,2,3,2,3,1,1
4,4.5,6,1450,3,2,4,3,0,1
4,5.3,28,1850,4,3,4,4,3,1
2,1.85,7,1000,4,1,2,2,0,1
3,2.5,20,1350,1,2,3,3,1,1
3,2.42,31,1200,1,2,3,1,0,1
1,1.05,51,650,1,1,1,2,1,2
1,0.8,1,750,1,1,1,2,3,1
1,1.3,14,550,1,3,1,2,0,1
1,0.95,15,525,4,2,1,2,0,1
3,5.6,28,1850,1,1,3,3,1,1
1,1.12,21,600,1,3,1,1,0,1
1,0.98,9,570,4,2,1,2,0,1
3,5.5,60,1450,4,1,3,3,0,1
1,1.0,8,550,4,2,1,1,0,2
3,2.61,7,1128,1,1,3,3,0,1
2,1.83,6,796,3,1,2,2,0,1
2,4.3,27,848,3,2,2,2,0,1
3,3.4,28,1150,2,1,3,3,0,1
2,2.25,11,700,1,3,2,2,0,1
1,1.5,14,550,3,2,1,1,0,1
2,3.22,7,1350,1,1,2,2,0,1
1,1.75,60,600,1,1,1,1,0,1
2,2.8,7,1200,3,2,2,2,0,1
2,1.75,49,738,1,2,2,2,0,1
2,1.69,28,575,3,2,2,2,0,1
1,0.92,48,500,3,1,1,2,0,1
2,0.91,56,950,3,1,2,2,3,1
1,1.6,28,550,4,2,1,1,0,1
3,5.5,44,1250,1,1,3,2,0,1
2,2.65,28,978,1,1,2,2,2,1
2,2.4,6,1290,1,1,2,2,3,1
3,0.43,65,1050,1,1,2,4,0,1
2,2.35,28,900,4,1,2,2,0,1
2,2.35,7,950,1,1,2,1,0,1
3,4.25,15,1600,1,2,3,3,3,1
3,4.8,6,1820,1,1,3,3,2,1
1,1.1,22,650,4,3,1,1,0,1
1,0.28,39,640,1,1,1,2,2,1
2,1.55,32,819,1,1,2,2,0,1
2,3.5,55,950,4,3,2,2,0,1
1,1.24,2,512,4,2,1,2,0,2
4,5.02,20,1650,1,1,4,3,0,1
2,1.83,49,1150,1,1,2,1,0,1
3,1.6,19,850,4,3,3,3,0,2
1,0.34,18,530,4,1,1,1,0,1
3,2.25,21,1400,4,3,3,2,0,1
2,0.59,18,1085,3,1,2,2,3,1
4,7.15,66,2700,1,3,4,4,2,1
3,3.25,15,1400,3,2,3,3,3,1
1,0.95,7,570,2,2,1,1,0,1
2,2.0,21,735,1,1,2,2,2,1
3,3.75,9,1750,4,1,3,3,0,1
4,11.0,30,2376,1,1,4,4,0,1
3,7.0,7,1690,4,3,3,2,1,1
3,3.5,14,1320,1,2,3,2,3,1
2,3.0,27,774,3,2,2,2,0,1
2,3.4,7,1250,1,1,2,2,1,1
2,2.3,31,1050,4,1,2,2,0,1
2,0.7,46,1000,1,1,2,3,0,1
2,1.35,1,756,3,2,2,2,1,1
2,0.76,6,875,4,1,2,2,0,2
1,0.9,9,467,1,2,1,2,0,1
4,6.0,21,1959,3,2,4,3,1,1
3,3.4,19,1291,1,1,3,2,2,1
2,3.5,37,900,2,1,2,2,0,1
3,2.65,29,1100,1,2,3,3,0,1
4,10.0,23,2000,4,2,4,4,0,1
2,1.5,21,900,4,1,2,2,0,1
2,1.66,7,950,2,1,2,2,1,1
1,0.65,1,585,4,1,1,2,1,1
2,1.9,2,1040,1,3,2,2,2,2
3,5.25,44,1300,4,1,3,2,0,1
2,1.45,51,1000,4,2,2,2,0,1
2,3.25,17,1250,1,1,2,1,0,1
1,0.65,5,550,1,1,1,2,0,1
2,1.9,26,746,3,1,2,2,0,1
3,6.75,55,1725,3,1,3,4,1,1
1,0.95,22,525,2,1,1,1,0,1
3,3.0,29,900,3,2,3,3,0,1
3,3.76,22,1251,1,1,3,3,1,1
3,7.25,30,2600,4,3,3,2,0,1
3,6.0,6,1690,1,1,3,2,0,1
2,1.45,3,620,4,1,2,2,0,1
2,1.75,9,850,1,3,2,2,2,1
4,4.8,21,2013,1,2,4,3,1,1
1,0.85,12,396,3,1,1,2,0,2
2,2.22,62,821,3,2,2,1,0,1
2,0.39,18,995,3,1,2,2,3,1
4,8.5,28,2400,4,1,4,5,3,1
2,4.75,23,778,3,1,2,2,0,1
2,1.05,5,900,3,1,2,2,2,1
2,0.94,1,889,3,1,2,2,3,1
3,3.52,21,1550,4,1,3,3,1,1
3,5.63,35,1152,1,3,3,3,0,1
3,4.87,4,1998,3,1,3,3,2,1
3,4.0,21,1239,3,2,3,3,1,1
2,3.5,7,1250,3,1,2,2,1,1
2,1.7,11,900,2,1,2,1,0,2
2,2.3,59,1100,1,3,2,2,0,1
2,1.9,19,830,4,1,2,2,0,2
2,1.5,29,850,4,2,2,2,2,1
2,3.9,19,1218,3,3,2,2,1,1
1,1.0,32,550,4,1,1,2,0,1
1,1.0,19,450,3,2,1,1,0,2
2,1.64,15,1000,3,2,2,2,0,1
3,4.95,28,1500,1,2,3,3,4,1
2,1.7,51,640,3,2,2,2,0,1
1,0.53,5,670,1,1,1,1,2,1
2,1.48,3,875,1,1,2,2,0,1
3,3.9,28,1650,4,1,3,3,0,1
2,0.78,1,999,1,1,2,2,0,1
1,0.85,9,678,1,2,1,2,0,1
1,0.34,24,600,1,2,1,1,2,1
1,0.71,1,590,3,1,1,2,3,1
1,1.0,2,600,3,2,1,2,0,1
1,1.25,15,605,3,2,1,2,0,1
1,1.0,3,600,1,3,1,1,0,1
1,0.35,39,710,1,1,1,1,2,1
2,3.08,4,1316,1,1,2,2,1,1
2,1.9,3,1400,1,1,2,2,0,1
2,2.25,9,723,3,2,2,2,0,1
2,2.05,22,800,4,1,2,2,0,1
3,2.8,20,1200,1,1,3,3,3,1
3,5.24,21,2450,3,1,3,3,1,1
3,2.4,14,1000,1,2,3,3,0,1
2,0.74,18,950,3,2,2,1,2,2
1,1.1,9,550,1,2,1,2,0,1
3,3.99,27,1050,3,2,3,2,0,1
4,11.5,6,2100,3,1,4,4,0,1
3,9.1,64,1500,4,3,3,3,0,1
3,3.3,15,1660,4,1,3,3,2,1
3,2.42,21,1452,3,2,3,3,0,1
3,2.95,6,1184,1,2,3,3,0,1
2,0.95,1,650,1,3,2,2,0,1
4,15.5,30,2711,1,1,4,3,0,1
4,15.0,67,2400,4,1,4,4,1,1
2,1.87,4,950,4,1,2,2,0,1
2,3.5,60,1250,4,2,2,2,0,1
2,2.45,14,926,3,2,2,2,0,1
3,2.35,32,1050,1,2,3,2,0,1
3,4.85,59,2200,1,1,3,3,4,1
1,0.26,18,450,1,2,1,1,2,2
3,3.49,50,1250,3,1,3,3,3,1
1,0.67,1,756,3,1,1,2,3,1
1,1.45,28,790,1,2,1,2,0,1
3,9.2,37,1860,1,2,3,3,1,1
1,0.7,1,660,1,1,1,2,3,1
2,3.05,12,1050,1,2,2,2,0,1
3,3.0,38,1014,1,1,3,3,0,1
2,0.54,24,850,3,2,2,1,3,1
2,1.55,15,860,1,2,2,2,0,1
1,1.2,14,550,1,1,1,1,0,1
2,3.0,28,920,4,1,2,2,0,1
2,2.57,2,815,3,2,2,2,1,1
2,0.83,56,1045,3,3,2,2,4,1
1,0.32,18,600,1,1,1,1,0,2
1,1.05,29,600,1,2,1,2,1,1
1,0.88,15,700,3,2,1,2,0,1
3,2.0,9,1500,1,1,3,3,1,1
1,1.25,31,650,1,3,1,2,0,1
3,3.56,32,1437,3,1,3,2,1,1
1,0.53,20,410,1,2,1,2,0,1
1,0.25,24,540,1,1,1,1,3,1
2,1.85,21,950,1,2,2,2,0,1
3,3.56,42,840,1,3,3,3,0,2
3,3.81,20,1250,1,1,3,3,1,1
3,4.25,28,1632,4,3,3,3,0,1
1,1.35,9,600,4,1,1,2,0,1
1,0.3,39,595,1,2,1,2,1,1
3,4.42,7,1550,1,1,3,2,3,1
1,0.58,46,776,3,1,1,2,0,1
1,0.65,1,675,1,1,1,2,2,1
2,1.0,1,850,1,3,2,2,1,1
3,2.83,7,1600,1,1,3,3,1,1
2,0.5,18,960,1,1,2,1,0,1
2,2.1,14,950,1,2,2,2,0,1
2,1.3,12,750,3,1,2,2,0,1
1,1.3,50,600,1,1,1,1,2,1
2,1.4,15,710,4,1,2,2,0,1
2,1.8,15,820,3,2,2,2,0,1
2,3.5,7,1150,3,1,2,2,1,1
1,0.4,16,700,1,1,1,2,2,1
2,1.25,68,700,1,2,2,1,0,1
3,6.0,7,1470,1,1,3,3,0,1
3,3.5,15,1650,4,1,3,3,2,1
1,0.89,29,550,1,1,1,2,0,2
2,1.05,5,871,1,1,2,2,1,1
2,0.98,12,660,1,2,2,2,0,2
1,1.3,31,650,3,1,1,2,0,1
1,0.9,15,700,4,2,1,1,0,2
3,6.25,28,1418,3,2,3,2,0,1
2,2.15,68,1007,3,1,2,2,2,1
2,0.65,18,1150,1,1,2,2,0,1
2,4.3,23,850,3,2,2,2,0,1
2,2.6,25,1000,3,2,2,2,0,1
1,0.39,39,680,1,1,1,1,2,1
4,7.05,7,2625,1,1,4,4,1,1
2,2.65,14,1190,1,1,2,2,0,1
2,2.25,28,600,1,2,2,2,0,1
1,0.33,24,580,1,2,1,1,2,1
4,6.99,30,1393,3,2,4,4,0,1
3,3.1,22,1500,3,1,3,3,0,1
3,5.0,30,1260,1,1,3,3,0,1
2,3.75,17,960,1,1,2,2,0,1
2,1.95,3,1250,1,1,2,2,0,1
3,6.75,6,1820,1,1,3,2,0,1
2,2.65,26,855,3,2,2,2,0,1
1,1.12,29,610,2,1,1,2,0,1
1,1.15,14,460,1,2,1,2,0,2
1,0.29,39,595,3,2,1,1,1,1
3,9.5,30,1860,1,3,3,1,0,1
2,0.6,39,1080,3,1,2,1,3,1
3,8.5,42,1500,3,1,3,3,3,1
3,4.98,11,1300,1,2,3,1,0,1
1,1.15,4,575,1,1,1,1,0,2
3,4.25,7,1740,4,3,3,3,1,1
3,5.75,7,2400,3,2,3,2,2,1
2,2.09,6,850,1,2,2,2,0,1
2,2.07,49,1200,1,1,2,2,0,1
2,1.4,56,820,1,2,2,3,0,1
3,5.1,19,1836,1,1,3,3,2,1
1,1.1,12,500,3,1,1,2,0,2
2,1.75,21,750,3,2,2,2,0,1
1,1.25,29,700,1,1,1,2,2,1
2,0.41,39,915,1,1,2,2,3,1
3,6.25,28,1760,4,1,3,3,1,1
3,1.9,1,1395,1,1,3,3,1,1
1,1.1,15,800,3,1,1,2,0,1
2,1.3,1,750,1,1,2,3,0,1
1,1.7,22,590,1,1,1,2,2,1
3,1.35,1,1295,1,1,3,3,2,1
2,1.9,4,950,4,1,2,2,0,1
3,6.97,14,1670,3,1,3,3,3,1
2,2.35,29,1001,1,3,2,1,0,1
1,0.58,5,654,1,1,1,2,1,1
4,16.5,67,2300,1,2,4,4,1,1
1,2.1,54,555,2,2,1,2,0,2
1,1.0,20,750,1,3,1,2,0,1
1,0.8,1,756,3,1,1,2,3,1
1,1.1,15,635,3,2,1,2,0,1
1,0.33,39,550,1,1,1,1,1,1
3,3.11,3,1345,1,1,3,3,3,1
1,0.33,24,530,3,1,1,2,2,1
1,1.15,26,540,3,3,1,2,0,1
3,3.5,9,1400,1,2,3,3,0,1
1,1.15,59,419,1,3,1,1,0,1
3,7.69,11,2022,3,1,3,3,0,1
3,2.8,15,1550,4,3,3,3,0,1
3,2.79,22,927,1,1,3,3,0,1
1,0.34,68,500,2,1,1,2,1,1
1,0.7,1,650,3,1,1,2,2,1
3,3.5,33,1250,4,3,3,3,0,1
2,3.2,11,700,1,3,2,1,0,1
3,3.0,4,1100,4,2,3,3,0,1
1,0.33,24,392,3,2,1,2,2,1
2,2.16,6,740,1,2,2,2,0,1
1,1.15,15,550,4,1,1,2,0,2
2,1.35,6,800,1,2,2,2,1,1
2,4.5,11,1000,1,2,2,2,0,1
1,0.26,39,700,1,2,1,3,0,1
2,1.7,29,1000,3,2,2,2,0,1
1,0.85,26,635,4,2,1,2,2,1
